phone,Date added,Date changed
(306) 1109 5329,1/1/2012,5/6/2022
(306) 839 2972,1/2/2012,5/7/2022
(306) 581 1638,1/3/2012,5/8/2022
(701) 726 3833,1/4/2012,5/9/2022
(306) 833 5533,1/5/2012,5/10/2022
(035) 539 4720,1/6/2012,5/11/2022
(306) 633 3247,1/7/2012,5/12/2022
(306) 983 3605,1/8/2012,5/13/2022
(780) 489 2192,1/9/2012,5/14/2022
NULL,1/10/2012,5/15/2022
(306) 916 2775,1/11/2012,5/16/2022
(306) 782 7976,1/12/2012,5/17/2022
(08) 8875 2675,1/13/2012,5/18/2022
NULL,1/14/2012,5/19/2022
(406) 1103 8070,1/15/2012,5/20/2022
(306) 788 3018,1/16/2012,5/21/2022
(306) 534 4811,1/17/2012,5/22/2022
(02) 6933 9131,1/18/2012,5/23/2022
(306) 872 4901,1/19/2012,5/24/2022
(306) 870 9451,1/20/2012,5/25/2022
(306) 707 4891,1/21/2012,5/26/2022
NULL,1/22/2012,5/27/2022
(306) 360 4279,1/23/2012,5/28/2022
(306) 999 4906,1/24/2012,5/29/2022
(701) 934 3987,1/25/2012,5/30/2022
(08) 9004 3520,1/26/2012,5/31/2022
(701) 360 2166,1/27/2012,6/1/2022
(08) 8775 4785,1/28/2012,6/2/2022
(08) 8879 4548,1/29/2012,6/3/2022
(306) 995 2527,1/30/2012,6/4/2022
(03) 5427 1765,1/31/2012,6/5/2022
(02) 6893 5755,2/1/2012,6/6/2022
(306) 1102 8255,2/2/2012,6/7/2022
(08) 8977 3822,2/3/2012,6/8/2022
(701) 1012 7204,2/4/2012,6/9/2022
(306) 780 8986,2/5/2012,6/10/2022
(306) 495 2789,2/6/2012,6/11/2022
(08) 8706 3040,2/7/2012,6/12/2022
(306) 998 3029,2/8/2012,6/13/2022
(701) 1012 7191,2/9/2012,6/14/2022
(306) 406 5468,2/10/2012,6/15/2022
(701) 418 5207,2/11/2012,6/16/2022
(306) 513 10216,2/12/2012,6/17/2022
(306) 676 7667,2/13/2012,6/18/2022
(08) 8992 1607,2/14/2012,6/19/2022
(406) 1119 6534,2/15/2012,6/20/2022
NULL,2/16/2012,6/21/2022
(306) 600 9999,2/17/2012,6/22/2022
(406) 723 8178,2/18/2012,6/23/2022
NULL,2/19/2012,6/24/2022
(306) 569 3294,2/20/2012,6/25/2022
(780) 516 2645,2/21/2012,6/26/2022
(306) 874 3313,2/22/2012,6/27/2022
(306) 788 3201,2/23/2012,6/28/2022
(08) 8988 4741,2/24/2012,6/29/2022
(306) 616 3097,2/25/2012,6/30/2022
(306) 911 3103,2/26/2012,7/1/2022
(306) 998 8015,2/27/2012,7/2/2022
(306) 809 5008,2/28/2012,7/3/2022
(306) 1088 8181,2/29/2012,7/4/2022
(306) 936 8003,3/1/2012,7/5/2022
(701) 477 6099,3/2/2012,7/6/2022
(03) 5524 6716,3/3/2012,7/7/2022
(403) 773 1285,3/4/2012,7/8/2022
(306) 785 3278,3/5/2012,7/9/2022
(306) 437 8981,3/6/2012,7/10/2022
(306) 596 3311,3/7/2012,7/11/2022
(701) 910 9120,3/8/2012,7/12/2022
(406) 905 8471,3/9/2012,7/13/2022
(306) 782 5499,3/10/2012,7/14/2022
(218) 919 2621,3/11/2012,7/15/2022
(204) 414 2617,3/12/2012,7/16/2022
(08) 8660 2861,3/13/2012,7/17/2022
(306) 515 8161,3/14/2012,7/18/2022
(306) 395 2546,3/15/2012,7/19/2022
(306) 998 8348,3/16/2012,7/20/2022
(306) 1102 5194,3/17/2012,7/21/2022
(306) 866 8014,3/18/2012,7/22/2022
(306) 786 5185,3/19/2012,7/23/2022
(701) 910 2557,3/20/2012,7/24/2022
(780) 1125 9015,3/21/2012,7/25/2022
(08) 8807 2530,3/22/2012,7/26/2022
(306) 921 5296,3/23/2012,7/27/2022
(406) 625 3040,3/24/2012,7/28/2022
(306) 822 5218,3/25/2012,7/29/2022
(204) 904 3199,3/26/2012,7/30/2022
(306) 616 3050,3/27/2012,7/31/2022
(306) 879 3162,3/28/2012,8/1/2022
(306) 576 2691,3/29/2012,8/2/2022
(306) 866 6335,3/30/2012,8/3/2022
(03) 5524 2757,3/31/2012,8/4/2022
(306) 1009 3012,4/1/2012,8/5/2022
(952) 380 6298,4/2/2012,8/6/2022
(02) 6936 5793,4/3/2012,8/7/2022
(406) 507 5877,4/4/2012,8/8/2022
(306) 407 3720,4/5/2012,8/9/2022
(306) 512 5077,4/6/2012,8/10/2022
(306) 564 3225,4/7/2012,8/11/2022
(306) 881 10082,4/8/2012,8/12/2022
(08) 8581 8220,4/9/2012,8/13/2022
